identifier,parent_id,code,text
S032w.Q.63-code01,S032w.Q.63,01,SEPARATE OUTFITS OUT OF DEFERENCE TO SOUTHERN CUSTOMS  [...]
S032w.Q.63-code02,S032w.Q.63,02,"SEPARATE OUTFITS BECAUSE INTERMINGLING WOULD LEAD TO VIOLENCE, FIGHTS, TROUBLE"
S032w.Q.63-code03,S032w.Q.63,03,SEPARATE OUTFITS BECAUSE NEGROES THEMSELVES (OR BOTH NEGROES AND WHITES) LIKE IT BETTER [...]
